epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
56,1597.76,1.15808,0.59289,0.00159,0.93921,0.91097,0.97033,0.7638,1.00967,0.45043,0.00208,0.0004555,0.0004555,0.0004555
57,1625.91,1.15761,0.58519,0.00157,0.91308,0.93203,0.96934,0.76625,0.99181,0.44584,0.00204,0.0004456,0.0004456,0.0004456
58,1652.48,1.16016,0.5735,0.00151,0.93747,0.92688,0.97074,0.76702,0.99899,0.43552,0.00206,0.0004357,0.0004357,0.0004357
59,1681.09,1.1765,0.60192,0.00148,0.93652,0.92286,0.97178,0.76948,0.99623,0.43289,0.00206,0.0004258,0.0004258,0.0004258
60,1709.89,1.14879,0.57018,0.00152,0.93867,0.92083,0.97327,0.77073,1.00395,0.4286,0.00207,0.0004159,0.0004159,0.0004159
61,1738.91,1.15048,0.6006,0.00147,0.93302,0.92926,0.97114,0.76674,1.00215,0.44028,0.00207,0.000406,0.000406,0.000406
62,1767.32,1.15603,0.58771,0.0015,0.91749,0.93077,0.96987,0.76828,0.9877,0.44907,0.00203,0.0003961,0.0003961,0.0003961
63,1794.65,1.14125,0.56408,0.00151,0.9302,0.93552,0.97546,0.76651,1.00777,0.42547,0.00209,0.0003862,0.0003862,0.0003862
64,1821.79,1.13282,0.5843,0.00151,0.93893,0.93148,0.97453,0.77231,0.98455,0.42006,0.00204,0.0003763,0.0003763,0.0003763
65,1850.93,1.14471,0.60806,0.00147,0.92557,0.92344,0.97119,0.76424,1.01445,0.44945,0.00206,0.0003664,0.0003664,0.0003664
66,1879.95,1.16715,0.57286,0.00146,0.93508,0.92216,0.9718,0.76724,1.00849,0.43301,0.00206,0.0003565,0.0003565,0.0003565
67,1909.22,1.19133,0.58799,0.0015,0.92476,0.93822,0.97465,0.76556,1.00963,0.4232,0.00206,0.0003466,0.0003466,0.0003466
68,1937.44,1.14022,0.55966,0.0015,0.93321,0.94683,0.9758,0.77716,0.97527,0.40935,0.00201,0.0003367,0.0003367,0.0003367
69,1965.27,1.12724,0.55413,0.00144,0.93783,0.93923,0.97675,0.77676,0.97376,0.40634,0.002,0.0003268,0.0003268,0.0003268
